Release_date,Build_number,Knowledge_base
2021-08-10,18363.1734,KB5005031
2021-08-10,17763.2114,KB5005030
2021-08-10,14393.4583,KB5005043
2021-08-10,10240.19022,KB5005040
2021-07-13,19043.1110,KB5004237
2021-07-13,19042.1110,KB5004237
2021-07-13,19041.1110,KB5004237
2021-07-07,19043.1083,KB5004945
2021-07-07,19042.1083,KB5004945
2021-07-07,19041.1083,KB5004945
2021-07-07,18363.1646,KB5004946
2021-07-07,17763.2029,KB5004947
2021-07-01,19043.1082,KB5004760
2021-07-01,19042.1082,KB5004760
2021-07-01,19041.1082,KB5004760
2021-06-21,19043.1081 (Preview),KB5003690
2021-06-21,19042.1081 (Preview),KB5003690
2021-06-21,19041.1081,KB5003690 (Preview)
2021-06-14,19043.1055,KB5004476
2021-06-14,19042.1055,KB5004476
2021-06-14,19041.1055,KB5004476
2021-06-13,10240.19003,KB5004249
2021-06-08,19043.1052,KB5003637
2021-06-08,19042.1052,KB5003637
2021-06-08,19041.1052,KB5003637
2021-06-08,18363.1621,KB5003635
2021-06-08,17763.1999,KB5003646
2021-06-08,14393.4467,KB5003638
2021-06-08,10240.18967,KB5003687
2021-05-25,19043.1023,KB5003214 (Preview)
2021-05-25,19042.1023,KB5003214 (Preview)
2021-05-20,19041.1023,KB5003214
2021-05-20,18363.1593,KB5003212
2021-05-20,17763.1971,KB5003217
2021-05-11,19043.985,KB5003173
2021-05-11,19042.985,KB5003173
2021-05-11,19041.985,KB5003173
2021-05-11,18363.1556,KB5003169
2021-05-11,17763.1935,KB5003171
2021-05-11,17134.2208,KB5003174
2021-05-11,14393.4402,KB5003197
2021-05-11,10240.18932,KB5003172
2021-04-30,19042.964,KB5001391 (Preview)
2021-04-30,19041.964,KB5001391
2021-04-22,18363.1533 (Preview),KB5001396
2021-04-22,17763.1911 (Preview),KB5001384
2021-04-13,19042.928,KB5001330
2021-04-13,19041.928,KB5001330
2021-04-13,18363.1500,KB5001337
2021-04-13,17763.1879,KB5001342
2021-04-13,17134.2145,KB5001339
2021-04-13,14393.435,KB5001347
2021-04-13,10240.18906,KB5001340
2021-03-30,19042.906,KB5000842 (Preview)
2021-03-30,19041.906,KB5000842 (Preview)
2021-03-26,17763.1852 (Preview),KB5001638
2021-03-25,18363.1474 (Preview),KB5000850
2021-03-18,19042.87,KB5001649
2021-03-18,19041.87,KB5001649
2021-03-18,18363.1443,KB5001648
2021-03-18,17763.1823,KB5001638
2021-03-18,17134.209,KB5001634
2021-03-18,14393.4288,KB5001633
2021-03-18,10240.18875,KB5001631
2021-03-15,19042.868,KB5001567
2021-03-15,19041.868,KB5001567
2021-03-15,18363.1441,KB5001566
2021-03-15,17763.1821,KB5001568
2021-03-15,17134.2088,KB5001565
2021-03-09,19042.867,KB5000802
2021-03-09,19041.867,KB5000802
2021-03-09,18363.1440,KB5000808
2021-03-09,17763.1817,KB5000822
2021-03-09,17134.2087,KB5000809
2021-03-09,15063.2679,KB5000812
2021-03-09,14393.4283,KB5000803
2021-03-09,10240.18874,KB5000807
2021-02-25,19042.844,KB4601382 (Preview)
2021-02-25,19041.844,KB4601382 (Preview)
2021-02-16,18363.1411 (Preview),KB4601380
2021-02-16,17763.1790 (Preview),KB4601383
2021-02-09,19042.804,KB4601319
2021-02-09,19041.804,KB4601319
2021-02-09,18363.1377,KB4601315
2021-02-09,17763.1757,KB4601345
2021-02-09,17134.2026,KB4601354
2021-02-09,15063.2642,KB4601330
2021-02-09,14393.4225,KB4601318
2021-02-09,10240.18842,KB4601331
2021-02-03,19042.789,KB4598291 (Preview)
2021-02-03,19041.789,KB4598291
2021-01-21,19042.782,KB4598291 (Preview)
2021-01-12,19042.746,KB4598242
2021-01-12,19041.746,KB4598242
